Date&Time(GMT),"Value of hourly average sea water temperature measured at depth 11.6 m, 2km from shore line (Hadera) - degrees Celsius",
6/1/1994 16:00,,
6/1/1994 17:00,,
6/1/1994 18:00,,
6/1/1994 19:00,,
6/1/1994 20:00,,
6/1/1994 21:00,,
6/1/1994 22:00,,
6/1/1994 23:00,,
7/1/1994 0:00,,
7/1/1994 1:00,,
7/1/1994 2:00,,
7/1/1994 3:00,,
7/1/1994 4:00,,
7/1/1994 5:00,,
7/1/1994 6:00,,
7/1/1994 7:00,,
7/1/1994 8:00,,
7/1/1994 9:00,,
7/1/1994 10:00,,
7/1/1994 11:00,,
7/1/1994 12:00,,
7/1/1994 13:00,,
7/1/1994 14:00,,
7/1/1994 15:00,,
7/1/1994 16:00,,
7/1/1994 17:00,,
7/1/1994 18:00,,
7/1/1994 19:00,,
7/1/1994 20:00,,
7/1/1994 21:00,,
7/1/1994 22:00,,
7/1/1994 23:00,,
8/1/1994 0:00,,
8/1/1994 1:00,,
8/1/1994 2:00,,
8/1/1994 3:00,,
8/1/1994 4:00,,
8/1/1994 5:00,,
8/1/1994 6:00,,
8/1/1994 7:00,,
8/1/1994 8:00,,
8/1/1994 9:00,,
8/1/1994 10:00,,
8/1/1994 11:00,,
8/1/1994 12:00,,
8/1/1994 13:00,,
8/1/1994 14:00,,
8/1/1994 15:00,,
8/1/1994 16:00,,
8/1/1994 17:00,,
8/1/1994 18:00,,
8/1/1994 19:00,,
8/1/1994 20:00,,
8/1/1994 21:00,,
8/1/1994 22:00,,
8/1/1994 23:00,,
9/1/1994 0:00,,
9/1/1994 1:00,,
9/1/1994 2:00,,
9/1/1994 3:00,,
9/1/1994 4:00,,
9/1/1994 5:00,,
9/1/1994 6:00,,
9/1/1994 7:00,,
9/1/1994 8:00,,
9/1/1994 9:00,,
9/1/1994 10:00,,
9/1/1994 11:00,,
9/1/1994 12:00,,
9/1/1994 13:00,,
9/1/1994 14:00,,
9/1/1994 15:00,,
9/1/1994 16:00,,
9/1/1994 17:00,,
9/1/1994 18:00,,
9/1/1994 19:00,,
9/1/1994 20:00,,
9/1/1994 21:00,,
9/1/1994 22:00,,
9/1/1994 23:00,,
10/1/1994 0:00,,
10/1/1994 1:00,,
10/1/1994 2:00,,
10/1/1994 3:00,,
10/1/1994 4:00,,
10/1/1994 5:00,,
10/1/1994 6:00,,
10/1/1994 7:00,,
10/1/1994 8:00,,
10/1/1994 9:00,,
10/1/1994 10:00,,
10/1/1994 11:00,,
10/1/1994 12:00,,
10/1/1994 13:00,,
10/1/1994 14:00,,
10/1/1994 15:00,,
10/1/1994 16:00,,
10/1/1994 17:00,,
10/1/1994 18:00,,
10/1/1994 19:00,,
10/1/1994 20:00,,
10/1/1994 21:00,,
10/1/1994 22:00,,
10/1/1994 23:00,,
11/1/1994 0:00,,
11/1/1994 1:00,,
11/1/1994 2:00,,
11/1/1994 3:00,,
11/1/1994 4:00,,
11/1/1994 5:00,,
11/1/1994 6:00,,
11/1/1994 7:00,,
11/1/1994 8:00,,
11/1/1994 9:00,,
11/1/1994 10:00,,
11/1/1994 11:00,,
11/1/1994 12:00,,
11/1/1994 13:00,,
11/1/1994 14:00,,
11/1/1994 15:00,,
11/1/1994 16:00,,
11/1/1994 17:00,,
11/1/1994 18:00,,
11/1/1994 19:00,,
11/1/1994 20:00,,
11/1/1994 21:00,,
11/1/1994 22:00,,
11/1/1994 23:00,,
12/1/1994 0:00,,
12/1/1994 1:00,,
12/1/1994 2:00,,
12/1/1994 3:00,,
12/1/1994 4:00,,
12/1/1994 5:00,,
12/1/1994 6:00,,
12/1/1994 7:00,,
12/1/1994 8:00,,
12/1/1994 9:00,,
12/1/1994 10:00,,
12/1/1994 11:00,,
12/1/1994 12:00,,
12/1/1994 13:00,,
12/1/1994 14:00,,
12/1/1994 15:00,,
12/1/1994 16:00,,
12/1/1994 17:00,,
12/1/1994 18:00,,
12/1/1994 19:00,,
12/1/1994 20:00,,
12/1/1994 21:00,,
12/1/1994 22:00,,
12/1/1994 23:00,,
13/1/1994 0:00,,
13/1/1994 1:00,,
13/1/1994 2:00,,
13/1/1994 3:00,,
13/1/1994 4:00,,
13/1/1994 5:00,,
13/1/1994 6:00,,
13/1/1994 7:00,,
13/1/1994 8:00,,
13/1/1994 9:00,,
13/1/1994 10:00,,
13/1/1994 11:00,,
13/1/1994 12:00,,
13/1/1994 13:00,,
13/1/1994 14:00,,
13/1/1994 15:00,,
13/1/1994 16:00,,
13/1/1994 17:00,,
13/1/1994 18:00,,
13/1/1994 19:00,,
13/1/1994 20:00,,
13/1/1994 21:00,,
13/1/1994 22:00,,
13/1/1994 23:00,,
14/1/1994 0:00,,
14/1/1994 1:00,,
14/1/1994 2:00,,
14/1/1994 3:00,,
14/1/1994 4:00,,
14/1/1994 5:00,,
14/1/1994 6:00,,
14/1/1994 7:00,,
14/1/1994 8:00,,
14/1/1994 9:00,,
14/1/1994 10:00,,
14/1/1994 11:00,,
14/1/1994 12:00,,
14/1/1994 13:00,,
14/1/1994 14:00,,
14/1/1994 15:00,,
14/1/1994 16:00,,
14/1/1994 17:00,,
14/1/1994 18:00,,
14/1/1994 19:00,,
14/1/1994 20:00,,
14/1/1994 21:00,,
14/1/1994 22:00,,
14/1/1994 23:00,,
15/1/1994 0:00,,
15/1/1994 1:00,,
15/1/1994 2:00,,
15/1/1994 3:00,,
15/1/1994 4:00,,
15/1/1994 5:00,,
15/1/1994 6:00,,
15/1/1994 7:00,,
15/1/1994 8:00,,
15/1/1994 9:00,,
15/1/1994 10:00,,
15/1/1994 11:00,,
15/1/1994 12:00,,
15/1/1994 13:00,,
15/1/1994 14:00,,
15/1/1994 15:00,,
15/1/1994 16:00,,
15/1/1994 17:00,,
15/1/1994 18:00,,
15/1/1994 19:00,,
15/1/1994 20:00,,
15/1/1994 21:00,,
15/1/1994 22:00,,
15/1/1994 23:00,,
16/1/1994 0:00,,
16/1/1994 1:00,,
16/1/1994 2:00,,
16/1/1994 3:00,,
16/1/1994 4:00,,
16/1/1994 5:00,,
16/1/1994 6:00,,
16/1/1994 7:00,,
16/1/1994 8:00,,
16/1/1994 9:00,,
16/1/1994 10:00,,
16/1/1994 11:00,,
16/1/1994 12:00,,
16/1/1994 13:00,,
16/1/1994 14:00,,
16/1/1994 15:00,,
16/1/1994 16:00,,
16/1/1994 17:00,,
16/1/1994 18:00,,
16/1/1994 19:00,,
16/1/1994 20:00,,
16/1/1994 21:00,,
16/1/1994 22:00,,
16/1/1994 23:00,,
17/1/1994 0:00,,
17/1/1994 1:00,,
17/1/1994 2:00,,
17/1/1994 3:00,,
17/1/1994 4:00,,
17/1/1994 5:00,,
17/1/1994 6:00,,
17/1/1994 7:00,,
17/1/1994 8:00,,
17/1/1994 9:00,,
17/1/1994 10:00,,
17/1/1994 11:00,,
17/1/1994 12:00,19.48,
17/1/1994 13:00,19.47,
17/1/1994 14:00,19.52,
17/1/1994 15:00,19.53,
17/1/1994 16:00,19.52,
17/1/1994 17:00,19.51,
17/1/1994 18:00,19.49,
17/1/1994 19:00,19.47,
17/1/1994 20:00,19.45,
17/1/1994 21:00,19.45,
17/1/1994 22:00,19.46,
17/1/1994 23:00,19.45,
18/1/1994 0:00,19.43,
18/1/1994 1:00,19.39,
18/1/1994 2:00,19.36,
18/1/1994 3:00,19.35,
18/1/1994 4:00,19.36,
18/1/1994 5:00,19.35,
18/1/1994 6:00,19.32,
18/1/1994 7:00,19.30,
18/1/1994 8:00,19.29,
18/1/1994 9:00,19.29,
18/1/1994 10:00,19.29,
18/1/1994 11:00,19.30,
18/1/1994 12:00,19.30,
18/1/1994 13:00,19.25,
18/1/1994 14:00,19.31,
18/1/1994 15:00,19.30,
18/1/1994 16:00,19.25,
18/1/1994 17:00,19.27,
18/1/1994 18:00,19.29,
18/1/1994 19:00,19.31,
18/1/1994 20:00,19.34,
18/1/1994 21:00,19.34,
18/1/1994 22:00,19.32,
18/1/1994 23:00,19.28,
19/1/1994 0:00,19.30,
19/1/1994 1:00,19.32,
19/1/1994 2:00,19.31,
19/1/1994 3:00,19.28,
19/1/1994 4:00,19.25,
19/1/1994 5:00,19.26,
19/1/1994 6:00,19.25,
19/1/1994 7:00,19.23,
19/1/1994 8:00,19.23,
19/1/1994 9:00,19.23,
19/1/1994 10:00,19.23,
19/1/1994 11:00,19.22,
19/1/1994 12:00,19.21,
19/1/1994 13:00,19.19,
19/1/1994 14:00,19.19,
19/1/1994 15:00,19.20,
19/1/1994 16:00,19.22,
19/1/1994 17:00,19.22,
19/1/1994 18:00,19.20,
19/1/1994 19:00,19.18,
19/1/1994 20:00,19.16,
19/1/1994 21:00,19.14,
19/1/1994 22:00,19.14,
19/1/1994 23:00,19.13,
20/1/1994 0:00,19.13,
20/1/1994 1:00,19.11,
20/1/1994 2:00,19.07,
20/1/1994 3:00,19.08,
20/1/1994 4:00,19.07,
20/1/1994 5:00,19.07,
20/1/1994 6:00,19.07,
20/1/1994 7:00,19.07,
20/1/1994 8:00,19.07,
20/1/1994 9:00,19.08,
20/1/1994 10:00,19.09,
20/1/1994 11:00,19.10,
20/1/1994 12:00,19.16,
20/1/1994 13:00,19.22,
20/1/1994 14:00,19.23,
20/1/1994 15:00,19.22,
20/1/1994 16:00,19.21,
20/1/1994 17:00,19.18,
20/1/1994 18:00,19.14,
20/1/1994 19:00,19.12,
20/1/1994 20:00,19.11,
20/1/1994 21:00,19.11,
20/1/1994 22:00,19.10,
20/1/1994 23:00,19.09,
21/1/1994 0:00,19.08,
21/1/1994 1:00,19.07,
21/1/1994 2:00,19.07,
21/1/1994 3:00,19.09,
21/1/1994 4:00,19.10,
21/1/1994 5:00,19.13,
21/1/1994 6:00,19.09,
21/1/1994 7:00,19.02,
21/1/1994 8:00,19.03,
21/1/1994 9:00,19.05,
21/1/1994 10:00,19.00,
21/1/1994 11:00,18.87,
21/1/1994 12:00,18.92,
21/1/1994 13:00,19.05,
21/1/1994 14:00,19.16,
21/1/1994 15:00,19.19,
21/1/1994 16:00,19.20,
21/1/1994 17:00,19.21,
21/1/1994 18:00,19.21,
21/1/1994 19:00,19.22,
21/1/1994 20:00,19.22,
21/1/1994 21:00,19.22,
21/1/1994 22:00,19.23,
21/1/1994 23:00,19.23,
22/1/1994 0:00,19.23,
22/1/1994 1:00,19.23,
22/1/1994 2:00,19.24,
22/1/1994 3:00,19.25,
22/1/1994 4:00,19.28,
22/1/1994 5:00,19.28,
22/1/1994 6:00,19.28,
22/1/1994 7:00,19.28,
22/1/1994 8:00,19.28,
22/1/1994 9:00,19.29,
22/1/1994 10:00,19.30,
22/1/1994 11:00,19.31,
22/1/1994 12:00,19.33,
22/1/1994 13:00,19.33,
22/1/1994 14:00,19.32,
22/1/1994 15:00,19.30,
22/1/1994 16:00,19.29,
22/1/1994 17:00,19.28,
22/1/1994 18:00,19.28,
22/1/1994 19:00,19.28,
22/1/1994 20:00,19.27,
22/1/1994 21:00,19.26,
22/1/1994 22:00,19.25,
22/1/1994 23:00,19.24,
23/1/1994 0:00,19.24,
23/1/1994 1:00,19.23,
23/1/1994 2:00,19.22,
23/1/1994 3:00,19.21,
23/1/1994 4:00,19.21,
23/1/1994 5:00,19.20,
23/1/1994 6:00,19.20,
23/1/1994 7:00,19.21,
23/1/1994 8:00,19.21,
23/1/1994 9:00,19.21,
23/1/1994 10:00,19.21,
23/1/1994 11:00,19.22,
23/1/1994 12:00,19.23,
23/1/1994 13:00,19.23,
23/1/1994 14:00,19.24,
23/1/1994 15:00,19.21,
23/1/1994 16:00,19.16,
23/1/1994 17:00,19.16,
23/1/1994 18:00,19.16,
23/1/1994 19:00,19.17,
23/1/1994 20:00,19.16,
23/1/1994 21:00,19.17,
23/1/1994 22:00,19.12,
23/1/1994 23:00,19.07,
24/1/1994 0:00,19.05,
24/1/1994 1:00,19.06,
24/1/1994 2:00,19.07,
24/1/1994 3:00,19.07,
24/1/1994 4:00,19.06,
24/1/1994 5:00,19.06,
24/1/1994 6:00,19.09,
24/1/1994 7:00,19.11,
24/1/1994 8:00,19.10,
24/1/1994 9:00,19.10,
24/1/1994 10:00,19.07,
24/1/1994 11:00,19.02,
24/1/1994 12:00,18.98,
24/1/1994 13:00,18.92,
24/1/1994 14:00,18.87,
24/1/1994 15:00,18.91,
24/1/1994 16:00,18.98,
24/1/1994 17:00,19.01,
24/1/1994 18:00,19.00,
24/1/1994 19:00,18.99,
24/1/1994 20:00,18.98,
24/1/1994 21:00,18.99,
24/1/1994 22:00,18.99,
24/1/1994 23:00,18.94,
25/1/1994 0:00,18.90,
25/1/1994 1:00,18.85,
25/1/1994 2:00,18.85,
25/1/1994 3:00,18.82,
25/1/1994 4:00,18.80,
25/1/1994 5:00,18.79,
25/1/1994 6:00,18.76,
25/1/1994 7:00,18.74,
25/1/1994 8:00,18.72,
25/1/1994 9:00,18.70,
25/1/1994 10:00,18.81,
25/1/1994 11:00,18.93,
25/1/1994 12:00,18.96,
25/1/1994 13:00,18.96,
25/1/1994 14:00,18.93,
25/1/1994 15:00,18.95,
25/1/1994 16:00,18.98,
25/1/1994 17:00,18.99,
25/1/1994 18:00,18.97,
25/1/1994 19:00,18.96,
25/1/1994 20:00,18.93,
25/1/1994 21:00,18.89,
25/1/1994 22:00,18.87,
25/1/1994 23:00,18.88,
26/1/1994 0:00,18.88,
26/1/1994 1:00,18.89,
26/1/1994 2:00,18.89,
26/1/1994 3:00,18.89,
26/1/1994 4:00,18.90,
26/1/1994 5:00,18.89,
26/1/1994 6:00,18.86,
26/1/1994 7:00,18.84,
26/1/1994 8:00,18.89,
26/1/1994 9:00,18.95,
26/1/1994 10:00,19.00,
26/1/1994 11:00,19.03,
26/1/1994 12:00,19.05,
26/1/1994 13:00,19.05,
26/1/1994 14:00,19.03,
26/1/1994 15:00,18.97,
26/1/1994 16:00,18.95,
26/1/1994 17:00,18.97,
26/1/1994 18:00,18.94,
26/1/1994 19:00,18.83,
26/1/1994 20:00,18.83,
26/1/1994 21:00,18.91,
26/1/1994 22:00,18.94,
26/1/1994 23:00,18.93,
27/1/1994 0:00,18.90,
27/1/1994 1:00,18.83,
27/1/1994 2:00,18.70,
27/1/1994 3:00,18.59,
27/1/1994 4:00,18.57,
27/1/1994 5:00,18.59,
27/1/1994 6:00,18.63,
27/1/1994 7:00,18.61,
27/1/1994 8:00,18.56,
27/1/1994 9:00,18.58,
27/1/1994 10:00,18.63,
27/1/1994 11:00,18.65,
27/1/1994 12:00,18.65,
27/1/1994 13:00,18.64,
27/1/1994 14:00,18.63,
27/1/1994 15:00,18.65,
27/1/1994 16:00,18.66,
27/1/1994 17:00,18.65,
27/1/1994 18:00,18.75,
27/1/1994 19:00,18.83,
27/1/1994 20:00,18.87,
27/1/1994 21:00,18.88,
27/1/1994 22:00,18.89,
27/1/1994 23:00,18.90,
28/1/1994 0:00,18.90,
28/1/1994 1:00,18.90,
28/1/1994 2:00,18.90,
28/1/1994 3:00,18.89,
28/1/1994 4:00,18.88,
28/1/1994 5:00,18.88,
28/1/1994 6:00,18.87,
28/1/1994 7:00,18.86,
28/1/1994 8:00,18.85,
28/1/1994 9:00,18.84,
28/1/1994 10:00,18.84,
28/1/1994 11:00,18.83,
28/1/1994 12:00,18.82,
28/1/1994 13:00,18.82,
28/1/1994 14:00,18.82,
28/1/1994 15:00,18.81,
28/1/1994 16:00,18.80,
28/1/1994 17:00,18.79,
28/1/1994 18:00,18.79,
28/1/1994 19:00,18.79,
28/1/1994 20:00,18.78,
28/1/1994 21:00,18.77,
28/1/1994 22:00,18.77,
28/1/1994 23:00,18.76,
29/1/1994 0:00,18.74,
29/1/1994 1:00,18.72,
29/1/1994 2:00,18.70,
29/1/1994 3:00,18.67,
29/1/1994 4:00,18.65,
29/1/1994 5:00,18.65,
29/1/1994 6:00,18.67,
29/1/1994 7:00,18.70,
29/1/1994 8:00,18.71,
29/1/1994 9:00,18.71,
29/1/1994 10:00,18.69,
29/1/1994 11:00,18.64,
29/1/1994 12:00,18.57,
29/1/1994 13:00,18.63,
29/1/1994 14:00,18.69,
29/1/1994 15:00,18.70,
29/1/1994 16:00,18.61,
29/1/1994 17:00,18.56,
29/1/1994 18:00,18.59,
29/1/1994 19:00,18.66,
29/1/1994 20:00,18.67,
29/1/1994 21:00,18.68,
29/1/1994 22:00,18.68,
29/1/1994 23:00,18.68,
30/1/1994 0:00,18.68,
30/1/1994 1:00,18.67,
30/1/1994 2:00,18.66,
30/1/1994 3:00,18.67,
30/1/1994 4:00,18.67,
30/1/1994 5:00,18.65,
30/1/1994 6:00,18.63,
30/1/1994 7:00,18.61,
30/1/1994 8:00,18.61,
30/1/1994 9:00,18.53,
30/1/1994 10:00,18.50,
30/1/1994 11:00,18.50,
30/1/1994 12:00,18.44,
30/1/1994 13:00,18.45,
30/1/1994 14:00,18.53,
30/1/1994 15:00,18.57,
30/1/1994 16:00,18.63,
30/1/1994 17:00,18.65,
30/1/1994 18:00,18.59,
30/1/1994 19:00,18.40,
30/1/1994 20:00,18.37,
30/1/1994 21:00,18.49,
30/1/1994 22:00,18.60,
30/1/1994 23:00,18.62,
31/1/1994 0:00,18.62,
31/1/1994 1:00,18.61,
31/1/1994 2:00,18.61,
31/1/1994 3:00,18.60,
31/1/1994 4:00,18.58,
31/1/1994 5:00,18.56,
31/1/1994 6:00,18.49,
31/1/1994 7:00,18.38,
31/1/1994 8:00,18.28,
31/1/1994 9:00,18.18,
31/1/1994 10:00,18.27,
31/1/1994 11:00,18.35,
31/1/1994 12:00,18.44,
31/1/1994 13:00,18.49,
31/1/1994 14:00,18.49,
31/1/1994 15:00,18.47,
31/1/1994 16:00,18.43,
31/1/1994 17:00,18.40,
31/1/1994 18:00,18.39,
31/1/1994 19:00,18.37,
31/1/1994 20:00,18.36,
31/1/1994 21:00,18.24,
31/1/1994 22:00,18.18,
31/1/1994 23:00,18.22,
1/2/1994 0:00,18.13,
1/2/1994 1:00,18.14,
1/2/1994 2:00,18.17,
1/2/1994 3:00,18.12,
1/2/1994 4:00,18.03,
1/2/1994 5:00,18.00,
1/2/1994 6:00,18.05,
1/2/1994 7:00,18.07,
1/2/1994 8:00,18.08,
1/2/1994 9:00,18.07,
1/2/1994 10:00,18.07,
1/2/1994 11:00,18.11,
1/2/1994 12:00,18.09,
1/2/1994 13:00,18.04,
1/2/1994 14:00,17.97,
1/2/1994 15:00,17.86,
1/2/1994 16:00,17.77,
1/2/1994 17:00,17.85,
1/2/1994 18:00,17.95,
1/2/1994 19:00,17.95,
1/2/1994 20:00,17.95,
1/2/1994 21:00,17.91,
1/2/1994 22:00,17.93,
1/2/1994 23:00,17.91,
2/2/1994 0:00,17.88,
2/2/1994 1:00,17.86,
2/2/1994 2:00,17.85,
2/2/1994 3:00,17.81,
2/2/1994 4:00,17.81,
2/2/1994 5:00,17.81,
2/2/1994 6:00,17.84,
2/2/1994 7:00,17.83,
2/2/1994 8:00,17.78,
2/2/1994 9:00,17.77,
2/2/1994 10:00,17.83,
2/2/1994 11:00,17.83,
2/2/1994 12:00,17.98,
2/2/1994 13:00,18.09,
2/2/1994 14:00,18.14,
2/2/1994 15:00,18.15,
2/2/1994 16:00,18.15,
2/2/1994 17:00,18.13,
2/2/1994 18:00,18.09,
2/2/1994 19:00,18.04,
2/2/1994 20:00,18.00,
2/2/1994 21:00,18.01,
2/2/1994 22:00,18.03,
2/2/1994 23:00,18.04,
3/2/1994 0:00,18.06,
3/2/1994 1:00,18.09,
3/2/1994 2:00,18.11,
3/2/1994 3:00,18.12,
3/2/1994 4:00,18.12,
3/2/1994 5:00,18.14,
3/2/1994 6:00,18.15,
3/2/1994 7:00,18.17,
3/2/1994 8:00,18.18,
3/2/1994 9:00,18.22,
3/2/1994 10:00,18.25,
3/2/1994 11:00,18.29,
3/2/1994 12:00,18.32,
3/2/1994 13:00,18.35,
3/2/1994 14:00,18.37,
3/2/1994 15:00,18.39,
3/2/1994 16:00,18.41,
3/2/1994 17:00,18.44,
3/2/1994 18:00,18.42,
3/2/1994 19:00,18.36,
3/2/1994 20:00,18.33,
3/2/1994 21:00,18.30,
3/2/1994 22:00,18.25,
3/2/1994 23:00,18.19,
4/2/1994 0:00,18.14,
4/2/1994 1:00,18.10,
4/2/1994 2:00,18.08,
4/2/1994 3:00,18.08,
4/2/1994 4:00,18.11,
4/2/1994 5:00,18.14,
4/2/1994 6:00,18.14,
4/2/1994 7:00,18.11,
4/2/1994 8:00,18.10,
4/2/1994 9:00,,
4/2/1994 10:00,,
4/2/1994 11:00,,
4/2/1994 12:00,,
4/2/1994 13:00,,
4/2/1994 14:00,,
4/2/1994 15:00,,
4/2/1994 16:00,,
4/2/1994 17:00,,
4/2/1994 18:00,,
4/2/1994 19:00,,
4/2/1994 20:00,,
4/2/1994 21:00,,
4/2/1994 22:00,,
4/2/1994 23:00,,
5/2/1994 0:00,,
5/2/1994 1:00,,
5/2/1994 2:00,,
5/2/1994 3:00,,
5/2/1994 4:00,,
5/2/1994 5:00,,
5/2/1994 6:00,,
5/2/1994 7:00,,
5/2/1994 8:00,,
5/2/1994 9:00,,
5/2/1994 10:00,,
5/2/1994 11:00,,
5/2/1994 12:00,,
5/2/1994 13:00,,
5/2/1994 14:00,,
5/2/1994 15:00,,
5/2/1994 16:00,,
5/2/1994 17:00,,
5/2/1994 18:00,,
5/2/1994 19:00,,
5/2/1994 20:00,,
5/2/1994 21:00,,
5/2/1994 22:00,,
5/2/1994 23:00,,
6/2/1994 0:00,,
6/2/1994 1:00,,
6/2/1994 2:00,,
6/2/1994 3:00,,
6/2/1994 4:00,,
6/2/1994 5:00,,
6/2/1994 6:00,,
6/2/1994 7:00,,
6/2/1994 8:00,,
6/2/1994 9:00,,
6/2/1994 10:00,,
6/2/1994 11:00,,
6/2/1994 12:00,,
6/2/1994 13:00,,
6/2/1994 14:00,,
6/2/1994 15:00,,
6/2/1994 16:00,,
6/2/1994 17:00,,
6/2/1994 18:00,,
6/2/1994 19:00,,
6/2/1994 20:00,,
6/2/1994 21:00,,
6/2/1994 22:00,,
6/2/1994 23:00,,
7/2/1994 0:00,,
7/2/1994 1:00,,
7/2/1994 2:00,,
7/2/1994 3:00,,
7/2/1994 4:00,,
7/2/1994 5:00,,
7/2/1994 6:00,,
7/2/1994 7:00,,
7/2/1994 8:00,,
7/2/1994 9:00,,
7/2/1994 10:00,,
7/2/1994 11:00,,
7/2/1994 12:00,,
7/2/1994 13:00,,
7/2/1994 14:00,,
7/2/1994 15:00,,
7/2/1994 16:00,,
7/2/1994 17:00,,
7/2/1994 18:00,,
7/2/1994 19:00,,
7/2/1994 20:00,,
7/2/1994 21:00,,
7/2/1994 22:00,,
7/2/1994 23:00,,
8/2/1994 0:00,,
8/2/1994 1:00,,
8/2/1994 2:00,,
8/2/1994 3:00,,
8/2/1994 4:00,,
8/2/1994 5:00,,
8/2/1994 6:00,,
8/2/1994 7:00,,
8/2/1994 8:00,,
8/2/1994 9:00,,
8/2/1994 10:00,,
8/2/1994 11:00,,
8/2/1994 12:00,,
8/2/1994 13:00,,
8/2/1994 14:00,,
8/2/1994 15:00,,
8/2/1994 16:00,,
8/2/1994 17:00,,
8/2/1994 18:00,,
8/2/1994 19:00,,
8/2/1994 20:00,,
8/2/1994 21:00,,
8/2/1994 22:00,,
8/2/1994 23:00,,
9/2/1994 0:00,,
9/2/1994 1:00,,
9/2/1994 2:00,,
9/2/1994 3:00,,
9/2/1994 4:00,,
9/2/1994 5:00,,
9/2/1994 6:00,,
9/2/1994 7:00,,
9/2/1994 8:00,,
9/2/1994 9:00,,
9/2/1994 10:00,,
9/2/1994 11:00,,
