"","X.1","X","net","net_index","Start_hh","Start_mm","End_hh","End_mm","Year","Month","Day","Date","Week","Season","Fisherman","Fishing_field","Depth","Distance_to_Shore","Commants","Storm","box_only","night_drag_prawn","Many.Nasralas","Very_weak","Duration","Gambari_net","Distance_from_shore_km","depth_meter","new_site","new_direction","Lat_shore","lon_shore","perpendicular","Lon_final","Lat_final","loc_DEPTH","Nra","Sco","Sig","Ssi","Umo","Upo","mtc"
"30",30,30,30,"10-1981_2",NA,NA,NA,NA,1981,10,11,"1981-10-11",41,"autumn","Sarot","Herzelia S",16,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,28.8,"Herzelia","S",32.17,34.8,298,34.77378482,32.18185157,28.65226852,0,0,0,0,0,0,NA
"31",31,31,31,"10-1984_5",21,0,"4","0",1984,10,1,"1984-10-01",40,"autumn","Levi","Ashdod(S)",NA,NA,NA,FALSE,NA,NA,NA,FALSE,7,FALSE,NA,NA,"Ashdod",NA,31.83,34.63,301,NA,NA,NA,0,0,0,0,0,0,NA
"32",32,32,32,"10-1987_8",19,0,"0","0",1987,9,29,"1987-09-29",39,"autumn","Levi","Falick S",52,NA,NA,FALSE,NA,NA,NA,FALSE,5,FALSE,NA,93.6,"Falick","S",32.26,34.83,300,34.69663512,32.32530857,93.33409026,0,0,0,0,0,0,NA
"33",33,33,33,"10-1989_90",12,0,NA,NA,1989,10,10,"1989-10-10",41,"autumn","Sarot","Ashdod N",NA,2.6,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,4.68,38.3727739,"Ashdod","N",31.83,34.63,301,34.58761479,31.85173077,38.3727739,0,0,0,0,0,0,NA
"34",34,34,34,"10-1991_2",14,30,"18","0",1991,9,20,"1991-09-20",38,"autumn","Levi","Katza N",NA,NA,NA,FALSE,NA,NA,NA,FALSE,3.5,FALSE,NA,NA,"Katza","N",31.63,34.51,306,NA,NA,NA,0,0,0,0,0,0,NA
"35",35,35,35,"10-1994_5",13,0,"17","15",1994,9,16,"1994-09-16",37,"autumn","Levi","Ashdod S",27,NA,NA,FALSE,NA,NA,NA,FALSE,4.25,FALSE,NA,48.6,"Ashdod","S",31.83,34.63,301,34.55390981,31.86899382,48.58026037,0,0,0,0,0,0,NA
"36",36,36,36,"10-1995_6",NA,NA,NA,NA,1995,10,1,"1995-10-01",40,"autumn","Tzion","Ashdod",NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,NA,"Ashdod",NA,31.83,34.63,301,NA,NA,NA,0,0,0,0,0,0,NA
"37",37,37,37,"10-1997_8",NA,NA,NA,NA,1997,10,14,"1997-10-14",41,"autumn","Sarot","Gazza N",NA,4,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,7.2,36.63055747,"Gaza","N",31.6,34.48,310,34.42185543,31.64172615,36.63055747,0,0,0,0,0,0,NA
"38",38,38,38,"אוק-01",NA,NA,NA,NA,2001,3,10,"2001-03-10",10,"spring","Sarot","Hadera S",112,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,201.6,"Hadera","S",32.438,34.88,288,NA,NA,NA,0,0,0,0,0,0,NA
"39",39,39,39,"10-2003_4",12,15,"15","4",2003,9,12,"2003-09-12",37,"autumn","Levi","Riding S",NA,4,NA,FALSE,FALSE,FALSE,NA,FALSE,2.816666667,FALSE,7.2,42.89790519,"Riding","S",32.1,34.77,285,34.69630675,32.11678368,42.89790519,0,0,0,0,0,0,NA
"40",40,40,40,"10-2004_05",7,0,"11","0",2004,9,19,"2004-09-19",38,"autumn","Levi","Ashdod S",24,NA,NA,FALSE,NA,NA,NA,FALSE,4,FALSE,NA,43.2,"Ashdod","S",31.83,34.63,301,34.56568986,31.86296205,42.91600309,0,0,0,0,0,0,NA
"41",41,41,41,"10-2005_6",6,15,"9","30",2005,10,15,"2005-10-15",42,"autumn","Levi","Ashdod N",NA,2,NA,FALSE,NA,NA,NA,FALSE,3.25,FALSE,3.6,37.56635319,"Ashdod","N",31.83,34.63,301,34.59739776,31.84671724,37.56635319,0,0,0,0,0,0,NA
"42",42,42,42,"10-2006_7_first",10,20,"13","50",2006,10,10,"2006-10-10",41,"autumn","Levi","Ashdod S",29,NA,NA,FALSE,NA,NA,NA,FALSE,3.5,FALSE,NA,52.2,"Ashdod","S",31.83,34.63,301,34.54756607,31.87224124,52.04522426,0,0,0,0,0,0,NA
"43",43,43,43,"10-2007_8",14,0,"17","0",2007,10,9,"2007-10-09",41,"autumn","Doli","Katza N",32,NA,NA,FALSE,NA,NA,NA,FALSE,3,FALSE,NA,57.6,"Katza","N",31.63,34.51,306,34.40759933,31.69357154,57.5362273,0,0,0,0,0,0,NA
"44",44,44,44,"10-2008_09",11,30,"15","0",2008,10,4,"2008-10-04",40,"autumn","Vadim","Ashdod S",22,NA,NA,FALSE,NA,NA,NA,FALSE,3.5,FALSE,NA,39.6,"Ashdod","S",31.83,34.63,301,34.57837436,31.85646508,39.78015815,0,0,0,0,40,0,23.09348636
"45",45,45,45,"10-2009_10",15,30,"19","0",2009,9,30,"2009-09-30",39,"autumn","Vadim","Ashdod N",NA,3,NA,FALSE,NA,NA,NA,FALSE,3.5,FALSE,5.4,39.21016337,"Ashdod","N",31.83,34.63,301,34.58109223,31.85507271,39.21016337,0,0,0,0,5,0,23.09348636
"46",46,46,46,"10-2010_11",6,30,"10","30",2010,10,6,"2010-10-06",40,"autumn","Vadim","Jaffa S",NA,2.5,NA,FALSE,FALSE,FALSE,NA,FALSE,4,FALSE,4.5,40.2656809,"Jaffa","S",32.05,34.74,296,34.69716563,32.06778254,40.2656809,20,30,0,0,5,0,27.5539533054545
"47",47,47,47,"10-2011_12",12,0,"16","0",2011,12,29,"2011-12-29",52,"winter","Vadim","Ashdod N",68,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,4,FALSE,NA,122.4,"Ashdod","N",31.83,34.63,301,34.47503458,31.90933198,121.7853795,0,0,0,0,0,0,NA
"48",48,48,48,"10-2012_13",13,50,"18","20",2012,10,4,"2012-10-04",40,"autumn","Doli","Nitanim N",NA,2,NA,FALSE,FALSE,FALSE,NA,FALSE,4.5,FALSE,3.6,10.58987531,"Nitzanim","N",31.7,34.6,304,34.56851127,31.71815144,10.58987531,30,0,0,0,0,0,28
"49",49,49,49,"100-1977_8",5,15,"10",NA,1977,12,26,"1977-12-26",52,"winter","Tzion","Katza S",16,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,28.8,"Katza","S",31.63,34.51,306,34.49123698,31.64166098,28.19990325,0,0,0,0,0,0,NA
"50",50,50,50,"100-1978",10,30,"14","30",1978,7,3,"1978-07-03",27,"summer","Tzion","Rfiach",14,NA,NA,FALSE,NA,NA,NA,FALSE,4,FALSE,NA,25.2,"Rafiach",NA,31.325,34.22,320,NA,NA,NA,0,0,0,0,0,0,NA
"51",51,51,51,"100-1981_2",NA,NA,NA,NA,1981,12,21,"1981-12-21",51,"winter","Levi","Ashdod S",23,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,41.4,"Ashdod","S",31.83,34.63,301,34.56840812,31.86156995,41.81601873,0,0,0,0,0,0,NA
"52",52,52,52,"100-1984_5",NA,NA,NA,NA,1984,11,1,"1984-11-01",44,"autumn","Sarot","Ashkelon",NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,NA,"Ashkelon",NA,31.68,34.56,306,NA,NA,NA,0,0,0,0,0,0,NA
"53",53,53,53,"100-1987_8",NA,NA,NA,NA,1987,11,9,"1987-11-09",45,"autumn","Sarot","Hadera S",42,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,75.6,"Hadera","S",32.438,34.88,288,34.76770526,32.46888097,74.63905778,0,0,0,0,0,0,NA
"54",54,54,54,"100-1989_90",14,30,"18","0",1989,11,9,"1989-11-09",45,"autumn","Levi","Ashdod N",NA,2.8,NA,FALSE,NA,NA,NA,FALSE,3.5,FALSE,5.04,38.33304096,"Ashdod","N",31.83,34.63,301,34.58435357,31.85340178,38.33304096,0,0,0,0,0,0,NA
"55",55,55,55,"100-1991_2",16,15,"22","30",1991,11,11,"1991-11-11",45,"autumn","Levi","Michmoret S",42,NA,NA,FALSE,NA,NA,NA,FALSE,6.25,FALSE,NA,75.6,"Michmoret","S",32.4,34.86,286,34.75166385,32.42630071,76.02944877,0,0,0,0,0,0,NA
"56",56,56,56,"100-1992_3",NA,NA,NA,NA,1992,12,1,"1992-12-01",48,"winter","Tzion","Michmoret S",NA,4,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,7.2,50.20059459,"Michmoret","S",32.4,34.86,286,34.78642003,32.41787479,50.20059459,0,0,0,0,0,0,NA
"57",57,57,57,"100-1994_5",8,30,"12","10",1994,10,30,"1994-10-30",44,"autumn","Levi","Ashdod",20,4,NA,FALSE,NA,NA,NA,FALSE,3.666666667,FALSE,7.2,36,"Ashdod",NA,31.83,34.63,301,34.60283228,31.84393162,35.77251771,0,0,0,0,0,0,NA
"58",58,58,58,"100-1995_6",7,0,"11","0",1995,11,4,"1995-11-04",44,"autumn","Levi","Falik",NA,2.4,NA,FALSE,NA,NA,NA,FALSE,4,FALSE,4.32,36.66707532,"Falick",NA,32.26,34.83,300,34.79028646,32.27947225,36.66707532,0,0,0,0,0,0,NA
"59",59,59,59,"100-1997_8",7,30,"12","0",1997,12,2,"1997-12-02",48,"winter","Sarot","Ashdod N",200,NA,NA,FALSE,NA,NA,NA,FALSE,4.5,FALSE,NA,360,"Ashdod","N",31.83,34.63,301,NA,NA,NA,0,0,0,0,0,0,NA
"60",60,60,60,"100-1998_9",NA,NA,NA,NA,1998,11,1,"1998-11-01",44,"autumn","Sarot","Falick S",34,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,61.2,"Falick","S",32.26,34.83,300,34.72608382,32.31090782,60.91837259,0,0,0,0,0,0,NA
"61",61,61,61,"100-2001",16,15,"19","30",2001,5,22,"2001-05-22",21,"spring","Levi","Ashdod S",22,NA,NA,FALSE,NA,NA,NA,FALSE,3.25,FALSE,NA,39.6,"Ashdod","S",31.83,34.63,301,34.57837436,31.85646508,39.78015815,0,0,0,0,5,0,23.09348636
"62",62,62,62,"100-2001_02",NA,NA,NA,NA,2001,11,23,"2001-11-23",47,"autumn","Sarot","Ashdod(S)",NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,NA,"Ashdod",NA,31.83,34.63,301,NA,NA,NA,0,0,0,0,0,0,NA
"63",63,63,63,"100-2002_3",11,30,NA,NA,2002,10,30,"2002-10-30",44,"autumn","Sarot","hasi N",50,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,90,"Hasi","N",31.6,34.48,310,34.35152811,31.69210952,89.02393693,0,0,0,0,0,0,NA
"64",64,64,64,"100-2003_4",NA,NA,NA,NA,2003,10,25,"2003-10-25",43,"autumn","Sarot","Ashdod S",NA,1.4,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,2.52,34.48971354,"Ashdod","S",31.83,34.63,301,34.60717967,31.84170295,34.48971354,0,10,0,0,0,0,28
"65",65,65,65,"100-2004_05",NA,NA,NA,NA,2004,11,5,"2004-11-05",45,"autumn",NA,"Katza S",NA,3,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,5.4,33.66194312,"Katza","S",31.63,34.51,306,34.46393695,31.65861744,33.66194312,0,0,0,0,0,0,NA
"66",66,66,66,"100-2006_7_first",23,15,"4","0",2006,11,8,"2006-11-08",45,"autumn","Doli","Ashdod S",13,NA,NA,FALSE,NA,NA,NA,FALSE,4.75,TRUE,NA,23.4,"Ashdod","S",31.83,34.63,301,34.62456711,31.83278679,23.77634909,0,0,0,0,0,0,NA
"67",67,67,67,"100-2007_8",23,0,"3","30",2007,11,8,"2007-11-08",45,"autumn","Doli","Jaffa S",NA,14.5,NA,FALSE,NA,NA,NA,FALSE,4.5,TRUE,26.1,NA,"Jaffa","S",32.05,34.74,296,34.49132989,32.15293618,NA,0,0,0,0,0,0,NA
"68",68,68,68,"100-2008_09",19,0,"3","0",2008,11,6,"2008-11-06",45,"autumn","Vadim","Ashdod S",NA,2.2,NA,FALSE,NA,NA,NA,FALSE,8,TRUE,3.96,37.81362932,"Ashdod","S",31.83,34.63,301,34.59413689,31.8483885,37.81362932,0,0,0,0,0,0,NA
"69",69,69,69,"100-2009_10",15,30,"19","30",2009,11,7,"2009-11-07",45,"autumn","Vadim","Riding S",43,NA,NA,FALSE,NA,NA,NA,FALSE,4,FALSE,NA,77.4,"Riding","S",32.1,34.77,285,34.64101912,32.12934325,77.91898223,10,0,0,0,0,0,28
"70",70,70,70,"100-2010_11",20,30,"1","15",2010,10,30,"2010-10-30",44,"autumn","Levi","Rishon S",NA,2.2,NA,FALSE,FALSE,FALSE,NA,FALSE,4.75,TRUE,3.96,37.30538845,"Rishon","S",31.98,34.72,293,34.6814262,31.99394799,37.30538845,10,0,0,0,0,0,28
"71",71,71,71,"100-2011_12",13,30,"17","30",2012,2,13,"2012-02-13",7,"winter","Vadim","Ashdod N",27,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,4,FALSE,NA,48.6,"Ashdod","N",31.83,34.63,301,34.55390981,31.86899382,48.58026037,15,0,0,0,10,0,26.037394544
"72",72,72,72,"100-2012_13",11,15,"15","30",2012,11,14,"2012-11-14",46,"autumn","Levi","Ashkelon S",12,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,4.25,FALSE,NA,21.6,"Ashkelon","S",31.68,34.56,306,34.54122693,31.69166089,22.26779551,0,30,0,0,0,0,28
"73",73,73,73,"101-1977_8",11,NA,"16",NA,1977,12,26,"1977-12-26",52,"winter","Tzion","Gazza N",16,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,28.8,"Gaza","N",31.6,34.48,310,34.46708347,31.60927479,29.16197141,0,0,0,0,0,0,NA
"74",74,74,74,"101-1978",15,0,"19","15",1978,7,3,"1978-07-03",27,"summer","Tzion","Yamit",NA,NA,NA,FALSE,NA,NA,NA,FALSE,4.25,FALSE,NA,NA,"Yamit",NA,31.29,34.13,320,NA,NA,NA,0,0,0,0,0,0,NA
"75",75,75,75,"101-1981_2",NA,NA,NA,NA,1981,12,21,"1981-12-21",51,"winter","Levi","Ashdod S",NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,NA,"Ashdod","S",31.83,34.63,301,NA,NA,NA,0,0,0,0,0,0,NA
"76",76,76,76,"101-1984_5",6,0,"9","45",1984,11,2,"1984-11-02",44,"autumn","Sarot","Ashdod(N)",NA,NA,NA,FALSE,NA,NA,NA,FALSE,3.75,FALSE,NA,NA,"Ashdod",NA,31.83,34.63,301,NA,NA,NA,0,0,0,0,0,0,NA
"77",77,77,77,"101-1987_8",NA,NA,NA,NA,1987,11,10,"1987-11-10",45,"autumn","Sarot","Jaffa N",NA,4,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,7.2,45.10551155,"Jaffa","N",32.05,34.74,296,34.67145706,32.07844509,45.10551155,0,0,0,0,0,0,NA
"78",78,78,78,"101-1989_90",22,0,"6","0",1989,11,9,"1989-11-09",45,"autumn","Levi","Ashdod N",NA,1.5,NA,FALSE,NA,NA,NA,FALSE,8,TRUE,2.7,34.87841947,"Ashdod","N",31.83,34.63,301,34.60554942,31.84253872,34.87841947,0,0,0,0,0,0,NA
"79",79,79,79,"101-1991_2",23,0,"4","30",1991,11,11,"1991-11-11",45,"autumn","Levi","Herzelia N",52,NA,NA,FALSE,NA,NA,NA,FALSE,5.5,FALSE,NA,93.6,"Herzelia","N",32.17,34.8,298,34.65948224,32.23342681,94.07695649,0,0,0,0,0,0,NA
"80",80,80,80,"101-1992_3",NA,NA,NA,NA,1992,12,1,"1992-12-01",48,"winter","Tzion","Herzelia S",NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,"Herzelia","S",32.17,34.8,298,NA,NA,NA,0,0,0,0,0,0,NA
"81",81,81,81,"101-1994_5",13,0,"17","0",1994,10,30,"1994-10-30",44,"autumn","Levi","Ashkelon N",22,NA,NA,FALSE,NA,NA,NA,FALSE,4,FALSE,NA,39.6,"Ashkelon","N",31.68,34.56,306,34.48317137,31.727686,39.03179663,0,0,0,0,0,0,NA
"82",82,82,82,"101-1995_6",11,30,"14","30",1995,11,4,"1995-11-04",44,"autumn","Levi","Falik",NA,NA,NA,FALSE,NA,NA,NA,FALSE,3,FALSE,NA,NA,"Falick",NA,32.26,34.83,300,NA,NA,NA,0,0,0,0,0,0,NA
"83",83,83,83,"101-1997_8",13,0,"17","30",1997,12,2,"1997-12-02",48,"winter","Sarot","Bat yam S",200,NA,NA,FALSE,NA,NA,NA,FALSE,4.5,FALSE,NA,360,"Bat_Yam","S",32.02,34.73,286,NA,NA,NA,0,0,0,0,0,0,NA
"84",84,84,84,"101-1998_9",NA,NA,NA,NA,1998,11,1,"1998-11-01",44,"autumn","Sarot","Jaffa N",NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,NA,"Jaffa","N",32.05,34.74,296,NA,NA,NA,0,0,0,0,0,0,NA
"85",85,85,85,"101-2001",20,30,"5","0",2001,5,22,"2001-05-22",21,"spring","Levi","Ashdod S",12,NA,NA,FALSE,NA,NA,NA,FALSE,8.5,TRUE,NA,21.6,"Ashdod","S",31.83,34.63,301,34.6272836,31.83139342,21.16304193,0,0,0,0,0,0,NA
"86",86,86,86,"101-2001_02",7,0,"11","30",2001,11,24,"2001-11-24",47,"autumn","Sarot","Katza",27,NA,NA,FALSE,NA,NA,NA,FALSE,4.5,FALSE,NA,48.6,"Katza",NA,31.63,34.51,306,34.42040704,31.68562963,49.77996331,0,0,0,0,0,0,NA
"87",87,87,87,"101-2002_3",NA,NA,NA,NA,2002,10,31,"2002-10-31",44,"autumn","Sarot","Ashdod S",50,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,90,"Ashdod","S",31.83,34.63,301,34.49680013,31.89820912,90.06357578,0,0,0,0,0,0,NA
"88",88,88,88,"101-2003_4",NA,NA,NA,NA,2003,10,25,"2003-10-25",43,"autumn","Sarot","Ashdod S",NA,1.4,NA,FALSE,TRUE,FALSE,NA,FALSE,NA,FALSE,2.52,34.48971354,"Ashdod","S",31.83,34.63,301,34.60717967,31.84170295,34.48971354,0,0,0,0,0,0,NA
